type,id,Labels_001,Labels_002,properties_unique,properties_namespace,properties_description,properties_title,properties_uri,properties_xsd_type,properties_identifier,properties_ontology_level,properties_html_info,properties_admin,properties_sing,properties_pl,properties_version,properties_comment,properties_url
node,85,TBox,,,car,An activity to create a labeled data set from a sensor dataset ,Training,,,,lower,,,,,,,
node,86,TBox,,,car,An activity to generate a LearningModel from a DataProcessor,ModelGeneration,,,,lower,,,,,,,
node,87,TBox,,,car,remove,Learning,,,,lower,,,,,v6.0,,
node,88,TBox,,,car,An agent which represent an animal in a Herd,Cow,,,,lower,,,,,v6.0,,
node,89,TBox,,,car,An agent which represents more than one animal,Herd,,,,lower,,,,,v6.0,,
node,90,TBox,,,car,remove,EvalResult,,,,lower,,,,,v6.0,,
node,91,TBox,,,car,remove,IMUDataProcessor,,,,lower,,,,,v6.0,,
node,93,TBox,,,car,A DataProcessor which represents a ML algorithm,LearningProcessor,,,,lower,,,,,v6.0,,
node,94,TBox,,,car,remove,OfflineDataProcessor,,,,lower,,,,,v6.0,,
node,95,TBox,,,car,a DataSet that contains the ground truth generated from video files,GroundTruth,,,,lower,,,,,v6.0,,
node,96,TBox,,,car,remove,GroundTruthReport,,,,lower,,,,,v6.0,,
node,97,TBox,,,car,A dataset that contains special information about about a LearningProcessor,LearningModel,,,,,,,,,,,
node,98,TBox,,,car,A dataset that contains sensor data with generated labels,LabeledData,,,,,,,,,,,
node,99,TBox,,,car,A dataset that contains GPS updates collected by GPSSensors,GPSData,,,,lower,,,,,v6.0,,
node,100,TBox,,,car,remove,TrainingDS,,,,lower,,,,,v6.0,,
node,101,TBox,,,car,A document generated by Evaluation activity over labeledData,FeedbackReport,,,,,,,,,,,
node,102,TBox,,,car,A document generated by Sensing,VideoData,,,,lower,,,,,v6.0,,
node,103,TBox,,,car,A dataset that contains data collected by IMUSensors,IMUSensorData,,,,lower,,,,,v6.0,,
node,104,TBox,,,car,remove,Model,,,,lower,,,,,v6.0,,
node,105,TBox,,,car,remove,BMProcessor,,,,lower,,,,,v6.0,,
node,106,TBox,,,car,LearningModel that contains information for BinaryLearningProcessor,BinaryGrayzing,,,,lower,,,,,v6.0,,
node,107,TBox,,,car,Sn sensor which collects ground truth in the farm,MGNCamera,,,,lower,,,,,v6.0,,
node,108,TBox,,,car,Sn sensor which collects IMU data of an animal,IMUSensor,,,,lower,,,,,v6.0,,
node,109,TBox,,,car,Sn sensor which collects GPS updates of an animal,GPSSensor,,,,lower,,,,,v6.0,,
node,110,TBox,,,car,Sn sensor which represent an animal in s Herd,SensorCollar,,,,lower,,,,,v6.0,,
node,111,TBox,,,car,Sn system that represents an algorithm that can manipulate data ,DataProcessor,,,,lower,,,,,v6.0,,
node,112,TBox,,,car,remove,TrainingSystem,,,,lower,,,,,v6.0,,
node,113,TBox,,,car,LearningPn is a learningprocessor that generates binary grazing labels,BinaryGrazingProcessor,,,,lower,,,,,,,
node,114,TBox,,,car,Systems which represents sensors,Sensor,,,,lower,,,,,,,
node,115,namespace,,,,,dcterms,http://purl.org/dc/terms/,,,,,,,,,,www.dublincore.org/documents/dcmi-terms/
node,116,namespace,,,,,skm,http://uni-bamberg.de/mobi/skm,,,,,,,,,upper: generic terms for SKM system,https://www.uni-bamberg.de/en/mobi/research/simutool/
node,117,namespace,,,,,foaf,http://xmlns.com/foaf/spec/,,,,,,,,,,http://xmlns.com/foaf/spec/
node,122,namespace,,,,,prov,http://www.w3.org/ns/prov#,,,,,,,,,,http://www.w3.org/ns/prov#
node,123,TBox,property,False,dcterms,The nature or genre of the Data.,type,http://example.org/tbox/type,xsd:string,,,,,,,,,
node,124,TBox,property,False,skm,Information how to locate the relevant aspects of the data.,schema,http://example.org/tbox/schema,xsd:anyURI,,,,,,,,,
node,125,TBox,property,False,dcterms,A name given to the resource.,title,http://example.org/tbox/title,xsd:string,,,,,,,,,
node,126,TBox,property,False,dcterms,"Description may include but is not limited to: an abstract, a table of contents, a graphical representation, or a free-text account of the resource.",description,http://example.org/tbox/description,xsd:string,,,,,,,,,
node,127,TBox,property,True,dcterms,An unambiguous reference to the resource within a given context.,identifier,http://example.org/tbox/identifier,xsd:anyURI,,,,,,,,,
node,129,TBox,property,False,skm,"A unique, namespace-qualified id of the original type if not in the current model.",origintype,http://example.org/tbox/origintype,xsd:anyURI,,,,,,,,,
node,131,TBox,property,False,dcterms,The data container format.,format,http://example.org/tbox/format,xsd:anyURI,,,,,,,,,
node,132,TBox,property,False,dcterms,Where to locate the Data provider (server or endpoint address).,coverage,http://example.org/tbox/coverage,xsd:anyURI,,,,,,,,,
node,133,TBox,property,False,foaf,The family name of some person. ,familyname,http://example.org/tbox/familyname,xsd:string,,,,,,,,,
node,134,TBox,property,False,foaf,The given name of some person. ,givenname,http://example.org/tbox/givenname,xsd:string,,,,,,,,,
node,135,TBox,property,False,foaf,"A personal mailbox, ie. an Internet mailbox associated with exactly one owner, the first owner of this mailbox.",mbox,http://example.org/tbox/mbox,xsd:anyURI,,,,,,,,,
node,136,TBox,property,False,prov,The time at which an activity started. See also prov:endedAtTime.,startedattime,http://example.org/tbox/startedattime,xsd:dateTime,,,,,,,,,
node,137,TBox,property,False,prov,The time at which an activity ended. See also prov:startedAtTime.,endedattime,http://example.org/tbox/endedattime,xsd:dateTime,,,,,,,,,
node,138,TBox,property,False,skm,An optional domain specific ID.,secondaryid,http://example.org/tbox/secondaryid,xsd:anyURI,,,,,,,,,
node,139,TBox,property,False,skm,A query string or URL in case of Document.,querystring,http://example.org/tbox/querystring,xsd:string,,,,,,,,,
node,140,TBox,property,False,dcterms,A topic of the resource.,subject,http://example.org/tbox/subject,xsd:string,,,,,,,,,
