":START_ID(Cow)","label:STRING","start_labels:STRING",":END_ID(Cow)","end_labels_001:STRING","properties_level:STRING","properties_namespace:STRING","properties_description:STRING","properties_title:STRING","properties_uri:STRING","end_labels_002:STRING"
"72","subclass_of","TBox","70","TBox","","","","","",""
"73","subclass_of","TBox","70","TBox","","","","","",""
"19","type_of","Abox","79","TBox","","","","","",""
"20","type_of","Abox","111","TBox","","","","","",""
"19","wasAssociatedWith","Abox","20","Abox","","","","","",""
"19","used","Abox","17","Abox","","","","","",""
"18","wasGeneratedBy","Abox","19","Abox","","","","","",""
"18","requires","Abox","9","Abox","","","","","",""
"19","used","Abox","12","Abox","","","","","",""
"17","wasGeneratedBy","Abox","16","Abox","","","","","",""
"17","requires","Abox","8","Abox","","","","","",""
"21","type_of","Abox","85","TBox","","","","","",""
"22","type_of","Abox","86","TBox","","","","","",""
"23","type_of","Abox","101","TBox","","","","","",""
"28","type_of","Abox","83","TBox","","","","","",""
"29","type_of","Abox","95","TBox","","","","","",""
"30","type_of","Abox","77","TBox","","","","","",""
"21","used","Abox","12","Abox","","","","","",""
"31","type_of","Abox","93","TBox","","","","","",""
"21","wasAssociatedWith","Abox","31","Abox","","","","","",""
"22","wasAssociatedWith","Abox","31","Abox","","","","","",""
"22","used","Abox","23","Abox","","","","","",""
"23","wasGeneratedBy","Abox","28","Abox","","","","","",""
"28","used","Abox","29","Abox","","","","","",""
"28","wasassociatedWith","Abox","30","Abox","","","","","",""
"29","requires","Abox","9","Abox","","","","","",""
"17","requires","Abox","8","Abox","","","","","",""
"21","used","Abox","17","Abox","","","","","",""
"32","type_of","Abox","98","TBox","","","","","",""
"33","type_of","Abox","98","TBox","","","","","",""
"74","subclass_of","TBox","25","TBox","","","","","",""
"75","subclass_of","TBox","25","TBox","","","","","",""
"76","subclass_of","TBox","25","TBox","","","","","",""
"77","subclass_of","TBox","76","TBox","","","","","",""
"78","subclass_of","TBox","26","TBox","","","","","",""
"79","subclass_of","TBox","26","TBox","","","","","",""
"80","subclass_of","TBox","26","TBox","","","","","",""
"81","subclass_of","TBox","26","TBox","","","","","",""
"82","subclass_of","TBox","26","TBox","","","","","",""
"83","subclass_of","TBox","26","TBox","","","","","",""
"84","subclass_of","TBox","26","TBox","","","","","",""
"85","subclass_of","TBox","26","TBox","","","","","",""
"86","subclass_of","TBox","26","TBox","","","","","",""
"87","subclass_of","TBox","26","TBox","","","","","",""
"88","subclass_of","TBox","25","TBox","","","","","",""
"89","subclass_of","TBox","25","TBox","","","","","",""
"90","subclass_of","TBox","70","TBox","","","","","",""
"91","subclass_of","TBox","111","TBox","","","","","",""
"93","subclass_of","TBox","111","TBox","","","","","",""
"94","subclass_of","TBox","111","TBox","","","","","",""
"95","subclass_of","TBox","72","TBox","","","","","",""
"96","subclass_of","TBox","72","TBox","","","","","",""
"97","subclass_of","TBox","72","TBox","","","","","",""
"98","subclass_of","TBox","72","TBox","","","","","",""
"99","subclass_of","TBox","72","TBox","","","","","",""
"100","subclass_of","TBox","72","TBox","","","","","",""
"101","subclass_of","TBox","71","TBox","","","","","",""
"102","subclass_of","TBox","71","TBox","","","","","",""
"103","subclass_of","TBox","72","TBox","","","","","",""
"104","subclass_of","TBox","27","TBox","","","","","",""
"33","wasGeneratedBy","Abox","21","Abox","","","","","",""
"28","used","Abox","33","Abox","","","","","",""
"34","type_of","Abox","84","TBox","","","","","",""
"34","wasAssociatedWith","Abox","31","Abox","","","","","",""
"35","type_of","Abox","97","TBox","","","","","",""
"35","wasGeneratedBy","Abox","22","Abox","","","","","",""
"34","used","Abox","35","Abox","","","","","",""
"32","wasGeneratedBy","Abox","34","Abox","","","","","",""
"36","type_of","Abox","103","TBox","","","","","",""
"34","used","Abox","36","Abox","","","","","",""
"105","subclass_of","TBox","93","TBox","","","","","",""
"107","subclass_of","TBox","114","TBox","","","","","",""
"108","subclass_of","TBox","114","TBox","","","","","",""
"109","subclass_of","TBox","114","TBox","","","","","",""
"110","subclass_of","TBox","114","TBox","","","","","",""
"111","subclass_of","TBox","75","TBox","","","","","",""
"112","subclass_of","TBox","75","TBox","","","","","",""
"113","subclass_of","TBox","93","TBox","","","","","",""
"114","subclass_of","TBox","75","TBox","","","","","",""
"24","object_property","TBox","24","TBox","upper","dcterms","A related KBMSThing  that is referenced, cited, or otherwise pointed to by the described SKMThing","references","http://example.org/tbox/references",""
"24","object_property","TBox","24","TBox","upper","dcterms","A relation between two KBMSThings (bi-directional version of references)","relation","http://example.org/tbox/relation",""
"24","object_property","TBox","24","TBox","upper","dcterms","A related KBMSThing that is included either physically or logically in the described SKMThing.","haspart","http://example.org/tbox/haspart",""
"24","object_property","TBox","24","TBox","upper","dcterms","A related resource that is supplanted, displaced, or superseded by the described resource.","replaces","http://example.org/tbox/replaces",""
"70","object_property","TBox","71","TBox","upper","dcterms","The Document includes  a statement about various property rights associated with the SKMThing, including intellectual property rights.","rights","http://example.org/tbox/rights",""
"70","object_property","TBox","25","TBox","upper","dcterms","A person or organization owning or managing rights over the SKMThing.","rightsholder","http://example.org/tbox/rightsholder",""
"24","object_property","TBox","25","TBox","upper","dcterms","A user that created the instance in the SKM system.","creator","http://example.org/tbox/creator",""
"24","object_property","TBox","71","TBox","upper","dcterms","The related Document describes subunits of the resource.","tableofcontents","http://example.org/tbox/tableofcontents",""
"26","object_property","TBox","76","TBox","upper","foaf","This Person is a member of this Project.","member","http://example.org/tbox/member",""
"74","object_property","TBox","76","TBox","upper","foaf","This Person is a member of this Organization.","member","http://example.org/tbox/member",""
"70","object_property","TBox","73","TBox","upper","dcterms","A related resource that is required by the described data to support its function, delivery, or coherence.","requires","http://example.org/tbox/requires",""
"27","object_property","TBox","26","TBox","upper","prov","Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation.","wasgeneratedby","http://example.org/tbox/wasgeneratedby",""
"27","object_property","TBox","27","TBox","upper","prov","A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity.","wasderivedfrom","http://example.org/tbox/wasderivedfrom",""
"27","object_property","TBox","25","TBox","upper","prov","Attribution is the ascribing of an entity to an agent.","wasattributedto","http://example.org/tbox/wasattributedto",""
"26","object_property","TBox","27","TBox","upper","prov","Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity.","used","http://example.org/tbox/used",""
"26","object_property","TBox","26","TBox","upper","prov","Communication is the exchange of an entity by two activities, one activity using the entity generated by the other.","wasinformedby","http://example.org/tbox/wasinformedby",""
"26","object_property","TBox","25","TBox","upper","prov","An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity.","wasassociatedwith","http://example.org/tbox/wasassociatedwith",""
"25","object_property","TBox","25","TBox","upper","prov","Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work. For example, a student acted on behalf of his supervisor, who acted on behalf of the department chair, who acted on behalf of the university; all those agents are responsible in some way for the activity that took place but we do not say explicitly who bears responsibility and to what degree.","actedonbehalfof","http://example.org/tbox/actedonbehalfof",""
"24","required_property","TBox","126","TBox","","","","","","property"
"24","required_property","TBox","127","TBox","","","","","","property"
"24","required_property","TBox","125","TBox","","","","","","property"
"77","required_property","TBox","135","TBox","","","","","","property"
"24","optional_property","TBox","129","TBox","","","","","","property"
"24","optional_property","TBox","138","TBox","","","","","","property"
"24","optional_property","TBox","123","TBox","","","","","","property"
"26","optional_property","TBox","137","TBox","","","","","","property"
"26","optional_property","TBox","136","TBox","","","","","","property"
"70","optional_property","TBox","124","TBox","","","","","","property"
"70","optional_property","TBox","140","TBox","","","","","","property"
"70","optional_property","TBox","123","TBox","","","","","","property"
"73","optional_property","TBox","132","TBox","","","","","","property"
"73","optional_property","TBox","131","TBox","","","","","","property"
"73","optional_property","TBox","139","TBox","","","","","","property"
"76","optional_property","TBox","133","TBox","","","","","","property"
"76","optional_property","TBox","134","TBox","","","","","","property"
